"Reference","Qty","Value","Manufacturer_Part_Number","Package"
"C1,C2,C4,C6,C8,C10,C11,C12,C13,C15,C17,C18,C20,C21,C22,C23,C25,C29,C30,C31,C32,C39,C43,C45","24","100n","GRM155R71A104KA01D","0402"
"C3","1","100p","CL05C101JB5NNNC","0402"
"C5,C9,C26,C34","4","1u","C0402C105K8PACTU","0402"
"C7,C24,C35,C44","4","10n","C0402C103K5REC7411","0402"
"C14,C16,C27,C28","4","18pF","GRM1555C1H180JA01D","0402"
"C19","1","220n","GRM155R71A224KE01J","0402"
"C33","1","220n","CL10E224KA84PNC","0603"
"C36,C37,C38,C40,C41,C42","6","10u","CL31A106MBHNNNE","1206"
"D1,D2,D3,D14","4","SBAT54CWT1G","SBAT54CWT1G","SOT-323"
"D4","1","Green LED","LTST-C190GKT","0603"
"D5","1","Red LED","LTST-C190KRKT","0603"
"D6,D7","2","TVS diode P4SMA33A-Q","P4SMA33A-Q","DO-214AC"
"D8,D9,D10,D11,D12,D13","6","TVS diode DBLC03CIQ-7","DBLC03CIQ-7","SOD-323"
"D15","1","BAT54J","",""
"F1","1","25A Fuse","SF-1206HV25M-2","1206"
"J1","1","3-pin JST connector","BM03B-GHS-TBT","3-pin JST connector"
"J3","1","8-pin JST connector","S8B-XH-A","8-pin JST connector"
"J4","1","2-pin JST connector","S2B-XH-A","2-pin JST connector"
"J5","1","XT60PW-M connector","XT60PW-M","XT60PW-M connector"
"J6","1","XT60PW-F connector","XT60PW-F","XT60PW-F connector"
"J7","1","7-pin JST connector","S7B-XH-A","7-pin JST connector"
"L1,L2","2","600R @ 100MHz","BLM15PX601SN1D","0402"
"Q1,Q2","2","NTMFS5C612NLT1G","NTMFS5C612NLT1G","5-DFN (5x6) (8-SOFL)"
"Q3,Q6","2","BSS84AKW,115","BSS84AKW,115","SOT-323"
"Q4,Q5,Q7","3","2N7002KW","2N7002KW","SOT-323"
"R1,R2,R3,R4,R6,R7,R9,R14,R21,R22,R25,R29,R30,R31,R34,R35,R49,R50,R54,R58,R62,R63,R64,R65,R66,R91,R92,R93,R94,R96,R98,R102,R109,R110,R111,R112,R116,R119","38","100k","RC0402FR-07100KL","0402"
"R5,R8","2","100R","RMCF0402FT100R","0402"
"R10,R11,R41,R42,R67,R68,R74","7","50R","RNCL2512FT50R0","2512"
"R12,R13,R27,R28,R56,R57,R69","7","68k,0.1%","RT0402BRD0768KL","0402"
"R15,R16,R36,R37,R60,R61,R73","7","2k,0.1%","RT0402BRD072KL","0402"
"R17,R20,R23,R24,R26,R32,R33,R43,R45,R48,R51,R55,R59","13","1k,0.1%","RT0402BRD071KL","0402"
"R18,R19,R52,R53,R70,R71,R72,R75,R76,R78,R86,R99,R101,R117,R118","15","10k","RMCF0402FT10K0","0402"
"R38,R39,R40,R44","4","33R","RC0402FR-0733RL","0402"
"R46,R47","2","100R","RC0402FR-07100RL","0402"
"R77","1","330R,0.1%","RT0402BRD07330RL","0402"
"R79,R80","2","470R","RC0402FR-07470RL","0402"
"R81,R87,R100,R108,R113","5","0R","CR0402AJ/-000GAS","0402"
"R82,R83,R84,R88,R89","5","4.7k","RC0402JR-074K7L","0402"
"R85","1","120R","CRCW0402120RFKEDC","0402"
"R90","1","100R","3521100RFT","2512"
"R95","1","261k","RC0402FR-07261KL","0402"
"R97","1","137k","RC0402FR-07137KL","0402"
"R103","1","2m","SEWF3920D2L00P9","3920"
"R115","1","0R","RMCF0805ZT0R00","0805"
"SW1","1","SW_Push","435451019820","4.60mm x 2.80mm"
"U1,U2,U4,U6,U8,U9,U10,U18","8","DMP68D1LVQ-7","DMP68D1LVQ-7","SOT-563"
"U3,U7,U11,U12,U13,U14,U22","7","DMN601VK-7","DMN601VK-7","SOT-563"
"U5","1","ADS131M08xPBS","ADS131M08IPBS","32-TQFP"
"U15","1","STM32L431CCUx","STM32L431CCU6TR","48-UFQFPN"
"U16","1","TCAN3413DRBR","TCAN3413DRBR","8-VDFN"
"U17","1","32kbit EEPROM memory","M24256-DRMN8TP/K","8-SOIC"
"U19","1","TPS12000QDGXRQ1","TPS12000QDGXRQ1","19-VSSOP"
"U20","1","LMZM23600V3","LMZM23600V3SILR","3.8 x 3"
"Y1","1","8.192MHz","ECS-81.92-12-30Q-EN-TR","5.0 x 3.2"
"Y2","1","8MHz","ECS-80-12-30Q-DS-TR","5.0 x 3.2"
